district,year,season,crop,area_hectares,yield_kg_per_ha,soil_type,ph,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,organic_carbon_percent,moisture_percent,avg_temp,max_temp,min_temp,rainfall,humidity,wind_speed,air_pressure,annual_recharge_mcm,annual_extraction_mcm,extraction_percent,future_groundwater_availability_mcm,water_stress_index,temp_range,rainfall_category,water_stress_category,fertility_score,climate_stress_score
Amritsar,2016,Kharif,Cotton,22020.8,1702.8,Alluvial,7.14,156.1,49.3,215.8,0.39,14.5,31.9,37.5,26.7,687.7,76,9.4,999.1,1099.6,973.4,88.5,126.2,0.89,10.8,High,High,111.6,10.54
Amritsar,2016,Kharif,Cotton,20808.6,2297.7,Alluvial,7.14,155.9,49.3,215.8,0.38,14.2,32.2,37.7,26.8,691.8,75.3,9.2,999.7,1099.6,973.4,88.5,126.2,0.91,10.8,High,High,111.5,10.65
Amritsar,2016,Kharif,Cotton,24497.9,1023.4,Alluvial,7.14,156.5,50,219.3,0.39,14.7,32.5,36.9,27.6,687.9,75.8,9.6,1000,1099.6,973.4,88.5,126.2,0.9,9.3,High,High,112.4,10.75
Amritsar,2016,Kharif,Cotton,21486.4,1317.5,Alluvial,7.14,156.9,50.2,215.1,0.39,14.7,31.2,37.3,26.3,681,75.3,9.2,1000.1,1099.6,973.4,88.5,126.2,0.9,11,High,High,110.2,10.61
Amritsar,2016,Kharif,Cotton,23175.1,1667.5,Alluvial,7.14,154.8,48.3,218.9,0.39,14.7,31.9,37.2,26.8,683.7,77.1,9.3,999.3,1099.6,973.4,88.5,126.2,0.89,10.5,High,High,112.5,10.52
Amritsar,2016,Kharif,Cotton,21817.1,1563.4,Alluvial,7.14,158.1,49.3,216.8,0.38,14.4,32.7,37.3,27.2,701.9,75.7,9.3,999.2,1099.6,973.4,88.5,126.2,0.89,10.1,High,High,111.4,10.58
Amritsar,2016,Kharif,Cotton,22882.7,2619.6,Alluvial,7.14,156.8,48.6,214.3,0.38,14.5,31.8,37.1,26.9,709.8,76.5,9.2,999.4,1099.6,973.4,88.5,126.2,0.88,10.3,High,High,110.9,10.47
Amritsar,2016,Kharif,Cotton,20781.6,1639.5,Alluvial,7.14,155.9,49.9,214.5,0.39,14.7,31.5,38,27.3,692.1,77.2,9.4,999,1099.6,973.4,88.5,126.2,0.9,10.7,High,High,111.3,10.58
Amritsar,2016,Kharif,Cotton,19193.5,1612.2,Alluvial,7.14,154.8,49,213.4,0.39,14.7,32.1,38.1,26.8,710.3,75.4,9.7,999.2,1099.6,973.4,88.5,126.2,0.88,11.3,High,High,110.9,10.58
Amritsar,2016,Kharif,Cotton,23275.7,1570.1,Alluvial,7.14,154.7,49.8,214.8,0.38,14.7,31.8,36.9,26.9,695.9,75.7,9.5,999.4,1099.6,973.4,88.5,126.2,0.89,9.9,High,High,110.8,10.59
Amritsar,2016,Kharif,Maize,39279.8,3398,Alluvial,7.14,156.1,49.3,215.8,0.39,14.5,31.9,37.5,26.7,687.7,76,9.4,999.1,1099.6,973.4,88.5,126.2,0.89,10.8,High,High,111.6,10.54
Amritsar,2016,Kharif,Maize,38999.3,3394.7,Alluvial,7.14,155.3,48.5,218.7,0.37,15,31.8,36.5,27.2,678.4,75.6,9.4,999.2,1099.6,973.4,88.5,126.2,0.89,9.4,High,High,110.3,10.51
Amritsar,2016,Kharif,Maize,37924.7,3342.5,Alluvial,7.14,156.2,50.7,216.8,0.4,14.7,31.3,38.2,26.5,676.7,76.5,9.4,999.8,1099.6,973.4,88.5,126.2,0.9,11.7,High,High,111.3,10.61
Amritsar,2016,Kharif,Maize,41748,3624.3,Alluvial,7.14,155.9,49.2,215.9,0.39,14.4,31.8,36.8,27,701,75.1,9.3,999,1099.6,973.4,88.5,126.2,0.87,9.8,High,High,111.8,10.63
Amritsar,2016,Kharif,Maize,38400.1,4019.3,Alluvial,7.14,157.4,49.5,216.5,0.37,14.3,31.8,37.2,26.7,697.3,75.7,9.2,999.7,1099.6,973.4,88.5,126.2,0.9,10.5,High,High,111.9,10.56
Amritsar,2016,Kharif,Maize,38325.7,3137.2,Alluvial,7.14,159.5,49.5,215.9,0.38,14.4,32,38.1,27.4,687.4,76.6,9.5,998.9,1099.6,973.4,88.5,126.2,0.89,10.7,High,High,110.7,10.57
Amritsar,2016,Kharif,Maize,38025.2,3437.6,Alluvial,7.14,155.8,49.5,220.4,0.38,14.3,31.8,38,26.3,689.1,75.6,9.1,998.7,1099.6,973.4,88.5,126.2,0.9,11.7,High,High,111.9,10.49
Amritsar,2016,Kharif,Maize,38342,3219,Alluvial,7.14,155,48.8,209.5,0.4,14.8,31.9,37.6,26.5,694.7,75.2,9.4,999.2,1099.6,973.4,88.5,126.2,0.9,11.1,High,High,111.6,10.53
Amritsar,2016,Kharif,Maize,36449.7,3570.4,Alluvial,7.14,155.6,48.2,212.4,0.39,14.3,32.1,38.2,26.6,708.4,77.7,9.3,999.5,1099.6,973.4,88.5,126.2,0.88,11.5,High,High,111.1,10.47
Amritsar,2016,Kharif,Maize,40076.4,3953.1,Alluvial,7.14,155.3,47.9,216.4,0.39,14.7,31.2,37.6,27.6,691.3,76.6,9.2,999,1099.6,973.4,88.5,126.2,0.9,10.1,High,High,111.7,10.57
Amritsar,2016,Kharif,Rice,69963.2,5401.4,Alluvial,7.14,156.1,49.3,215.8,0.39,14.5,31.9,37.5,26.7,687.7,76,9.4,999.1,1099.6,973.4,88.5,126.2,0.89,10.8,High,High,111.6,10.54
Amritsar,2016,Kharif,Rice,69887.6,4716.8,Alluvial,7.14,154.1,49.4,221.1,0.39,14.4,32.1,37,27.4,683,76.4,9.2,999.2,1099.6,973.4,88.5,126.2,0.9,9.6,High,High,111.8,10.48
Amritsar,2016,Kharif,Rice,71664.2,5842.2,Alluvial,7.14,153.9,49.2,216.7,0.4,14.8,32.2,37.7,26.7,668.9,76.4,9.4,999.1,1099.6,973.4,88.5,126.2,0.9,11,High,High,111.5,10.56
Amritsar,2016,Kharif,Rice,69698.4,5226.9,Alluvial,7.14,157.5,48.7,214.7,0.38,14.6,31.6,37.3,27.8,697.5,76.2,9.6,999.4,1099.6,973.4,88.5,126.2,0.89,9.5,High,High,111.9,10.58
Amritsar,2016,Kharif,Rice,69640.9,5633.2,Alluvial,7.14,157.4,49.6,216.9,0.4,14.8,32.2,37.4,26.2,700.2,76.2,9.5,998.6,1099.6,973.4,88.5,126.2,0.9,11.1,High,High,111.8,10.64
Amritsar,2016,Kharif,Rice,75483.8,4893.4,Alluvial,7.14,158.8,48.7,215.9,0.4,14.7,32.9,38,26.3,674.2,76.1,9.4,998.6,1099.6,973.4,88.5,126.2,0.9,11.6,High,High,111.4,10.56
Amritsar,2016,Kharif,Rice,69688.9,5909.4,Alluvial,7.14,156.8,49.6,214.1,0.39,14.2,32.2,37.1,26.5,674.9,75.6,9.4,999.2,1099.6,973.4,88.5,126.2,0.89,10.7,High,High,112.1,10.43
Amritsar,2016,Kharif,Rice,70720,5702.1,Alluvial,7.14,154.3,50.4,219,0.39,14.8,31.6,38.4,27,697.7,76.9,9.2,999.8,1099.6,973.4,88.5,126.2,0.88,11.4,High,High,111.8,10.46
Amritsar,2016,Kharif,Rice,71086.4,5935.5,Alluvial,7.14,155.2,48,215.3,0.4,14,32.2,37.8,26.4,670.3,76.1,9.5,999.8,1099.6,973.4,88.5,126.2,0.89,11.5,High,High,111.8,10.51
Amritsar,2016,Kharif,Rice,74478.5,5642.8,Alluvial,7.14,156.9,49.1,212.3,0.39,14,31.9,37.4,26.6,680,76.8,9.5,999.4,1099.6,973.4,88.5,126.2,0.91,10.7,High,High,111.5,10.7
Amritsar,2016,Rabi,Barley,14016.7,2849.7,Alluvial,6.6,149.3,44,233.3,0.31,27.5,18.9,27.3,13.3,92.1,54.2,4.1,1014.8,1099.6,973.4,88.5,126.2,0.89,14,Low,High,109.6,10.84
Amritsar,2016,Rabi,Barley,11393.8,2784.7,Alluvial,6.6,149.5,43.9,229.6,0.31,27.8,18.8,27.3,13.5,93.9,54.3,4.2,1014.7,1099.6,973.4,88.5,126.2,0.91,13.8,Low,High,109.2,10.85
Amritsar,2016,Rabi,Barley,14878.6,3922.7,Alluvial,6.6,148.4,44.3,231.6,0.31,27.3,18.8,27.8,13.6,87.3,53.4,4.2,1014.5,1099.6,973.4,88.5,126.2,0.88,14.2,Low,High,109.1,10.82
Amritsar,2016,Rabi,Barley,12819.5,3710.7,Alluvial,6.6,148.3,43,232.2,0.31,27.5,18.6,26.8,12.8,58.5,54.6,4,1014.8,1099.6,973.4,88.5,126.2,0.87,14,Low,High,110.5,10.9
Amritsar,2016,Rabi,Barley,14258.4,3036.6,Alluvial,6.6,148.7,44.7,235.7,0.31,27,19,27.7,13.2,114.2,53.7,4.3,1014.9,1099.6,973.4,88.5,126.2,0.88,14.5,Low,High,110.4,10.89
Amritsar,2016,Rabi,Barley,15365.9,2036.2,Alluvial,6.6,148.9,43.6,233.6,0.32,27.1,19.5,26.4,13.6,93.8,54.4,4.2,1014.3,1099.6,973.4,88.5,126.2,0.89,12.8,Low,High,109.3,10.85
Amritsar,2016,Rabi,Barley,14552.1,3199.7,Alluvial,6.6,147,44.3,229.9,0.31,27.8,19.1,27.6,13.2,73.4,55.4,4.1,1014.4,1099.6,973.4,88.5,126.2,0.9,14.4,Low,High,109,10.91
Amritsar,2016,Rabi,Barley,14732.6,2587.1,Alluvial,6.6,149.6,45.3,232.5,0.33,27.3,19,26.6,13,119.3,53.2,4.1,1015.3,1099.6,973.4,88.5,126.2,0.88,13.5,Low,High,109.6,10.82
Amritsar,2016,Rabi,Barley,14440.1,2357.1,Alluvial,6.6,149.4,43.5,236.8,0.31,27.6,18.6,26.6,12.8,93.8,54.4,3.8,1014.8,1099.6,973.4,88.5,126.2,0.89,13.8,Low,High,110.1,10.69
Amritsar,2016,Rabi,Barley,16012.3,2810.7,Alluvial,6.6,150.6,45.2,230.4,0.31,26.8,18.7,26.6,13.1,126.6,52.8,3.9,1015.1,1099.6,973.4,88.5,126.2,0.91,13.5,Low,High,108.5,10.8
Amritsar,2016,Rabi,Gram,8452.9,1578.9,Alluvial,6.6,149.3,44,233.3,0.31,27.5,18.9,27.3,13.3,92.1,54.2,4.1,1014.8,1099.6,973.4,88.5,126.2,0.89,14,Low,High,109.6,10.84
Amritsar,2016,Rabi,Gram,9767.7,1599.7,Alluvial,6.6,151.2,44.4,239,0.31,27.9,18.8,27.7,13.5,104.8,56.6,4,1014.8,1099.6,973.4,88.5,126.2,0.88,14.2,Low,High,109.2,10.85
Amritsar,2016,Rabi,Gram,10974.2,1086.3,Alluvial,6.6,150.7,43.6,234.8,0.32,27.3,20.3,26.6,13.4,77.3,52.2,3.9,1015.2,1099.6,973.4,88.5,126.2,0.91,13.2,Low,High,109.4,10.86
Amritsar,2016,Rabi,Gram,5787.7,1928.2,Alluvial,6.6,149.6,43.4,234.3,0.3,27.7,19.5,27.4,13.2,100.2,53.2,4.6,1014.6,1099.6,973.4,88.5,126.2,0.9,14.2,Low,High,110.5,10.85
Amritsar,2016,Rabi,Gram,8732.1,1254.6,Alluvial,6.6,149.4,44.8,234.4,0.29,27.7,20,27.1,12.9,92.4,55.1,4.2,1014.5,1099.6,973.4,88.5,126.2,0.89,14.2,Low,High,110.1,10.81
Amritsar,2016,Rabi,Gram,6931.7,1702.3,Alluvial,6.6,147.1,44,231.5,0.3,27.5,18.9,27.9,13.1,89.1,52,4.1,1015.6,1099.6,973.4,88.5,126.2,0.89,14.8,Low,High,109.7,10.71
Amritsar,2016,Rabi,Gram,5808.7,1720.9,Alluvial,6.6,149.2,44.4,229.9,0.3,27.7,19.3,26.8,12.7,88.9,55.2,4.4,1014.4,1099.6,973.4,88.5,126.2,0.89,14.1,Low,High,109.6,10.84
Amritsar,2016,Rabi,Gram,9918.7,2162.6,Alluvial,6.6,150.2,44.1,234,0.32,27.3,18.4,27.5,12.5,83.6,54.2,4,1014.3,1099.6,973.4,88.5,126.2,0.88,15,Low,High,109.5,10.83
Amritsar,2016,Rabi,Gram,7839.7,2557.2,Alluvial,6.6,151.3,44.2,234.8,0.32,27.2,19.2,26.2,14.1,110.6,53.4,4.2,1014.7,1099.6,973.4,88.5,126.2,0.89,12.1,Low,High,108.7,10.88
Amritsar,2016,Rabi,Gram,9504.5,1427.8,Alluvial,6.6,149.3,43.7,232,0.31,27.4,19.4,26.7,13.2,115.8,53.6,4.2,1014.2,1099.6,973.4,88.5,126.2,0.87,13.5,Low,High,110.2,10.89
Amritsar,2016,Rabi,Wheat,55227.5,5759.1,Alluvial,6.6,149.3,44,233.3,0.31,27.5,18.9,27.3,13.3,92.1,54.2,4.1,1014.8,1099.6,973.4,88.5,126.2,0.89,14,Low,High,109.6,10.84
Amritsar,2016,Rabi,Wheat,56138,6639.2,Alluvial,6.6,150.1,44.2,235.3,0.31,27.8,19.6,28.4,14.1,113.2,54.2,4.2,1014.9,1099.6,973.4,88.5,126.2,0.89,14.3,Low,High,109.8,10.82
Amritsar,2016,Rabi,Wheat,55314.3,4713.4,Alluvial,6.6,149,44.6,231.5,0.3,27.6,19.3,27.6,13.4,60.9,54.8,4.2,1014.6,1099.6,973.4,88.5,126.2,0.88,14.2,Low,High,108.9,11.01
Amritsar,2016,Rabi,Wheat,56188.3,5421.3,Alluvial,6.6,146.9,44.6,232.6,0.3,27.2,19.2,26.7,13.9,63.5,52.8,4,1015.1,1099.6,973.4,88.5,126.2,0.88,12.8,Low,High,109.6,10.86
Amritsar,2016,Rabi,Wheat,54677.6,5837.4,Alluvial,6.6,148.6,44,235.8,0.31,27.4,19.5,28.4,13.6,85.5,54.2,4.1,1014.4,1099.6,973.4,88.5,126.2,0.88,14.7,Low,High,110.4,10.82
